CLSK,CleanSpark Inc,Yes,"21,213,450",NASDAQ,$3B (Small),3.48
CLVT,Clarivate PLC,Yes,"4,323,510",NYS,$2B (Small),1.52
CLX,Clorox Co,Yes,"2,239,080",NYS,$13B (Mid),0.59
CM,Canadian Imperial Bank of Commerce,Yes,"1,799,460",NYS,$84B (Large),1.04
CMA,Comerica Inc,Yes,"1,384,630",NYS,$12B (Mid),1.06
CMC,Commercial Metals Co,Yes,"1,258,970",NYS,$8B (Mid),1.49
CMCSA,Comcast Corp,Yes,"27,258,800",NASDAQ,$103B (Large),0.8
CME,CME Group Inc,Yes,"1,559,050",NASDAQ,$95B (Large),0.29
CMG,Chipotle Mexican Grill Inc,Yes,"13,727,730",NYS,$53B (Large),0.99
CMPS,Compass Pathways PLC,Yes,"1,494,030",NASDAQ,$693M (Micro),1.93
CMPX,Compass Therapeutics Inc.,Yes,"1,980,870",NASDAQ,$952M (Micro),1.26
CMS,CMS Energy Corp,Yes,"2,172,240",NYS,$21B (Mid),0.47
CNC,Centene Corp,Yes,"5,984,200",NYS,$23B (Mid),0.49
CNH,CNH Industrial NV,Yes,"10,592,010",NYS,$13B (Mid),1.31
CNK,Cinemark Holdings Inc,Yes,"2,700,090",NYS,$3B (Small),1.13
CNM,Core & Main Inc,Yes,"1,698,860",NYS,$11B (Mid),0.99
CNP,CenterPoint Energy Inc,Yes,"3,287,540",NYS,$25B (Mid),0.58
CNQ,Canadian Natural Resources Ltd,Yes,"10,065,120",NYS,$67B (Large),0.69
CNTA,Centessa Pharmaceuticals PLC,Yes,"1,322,020",NASDAQ,$3B (Small),1.56
CNX,CNX Resources Corp,Yes,"1,855,430",NYS,$5B (Small),0.66
CODI,Compass Diversified Holdings,Yes,"1,263,850",NYS,$414M (Micro),1.08
COF,Capital One Financial Corp,Yes,"3,042,640",NYS,$158B (Large),1.14
COGT,Cogent Biosciences Inc,Yes,"2,385,190",NASDAQ,$6B (Small),0.45
COHR,Coherent Corp,Yes,"3,506,470",NYS,$28B (Mid),1.86
COIN,Coinbase Global Inc,Yes,"7,823,720",NASDAQ,$65B (Large),3.71
COLB,Columbia Banking System Inc,Yes,"1,879,520",NASDAQ,$9B (Mid),0.59
COLD,Americold Realty Trust Inc,Yes,"6,115,200",NYS,$4B (Small),0.92
COMM,CommScope Holding Company Inc,Yes,"3,262,100",NASDAQ,$4B (Small),2.42
