"Symbol","Description","Price","Average Volume (10 Day)","Optionable Stocks"
"GRNT","Granite Ridge Resources Inc","$5.05","591,070","Yes"
"GRPN","Groupon Inc","$12.48","1,011,760","Yes"
"GRRR","Gorilla Technology Group Inc","$12.24","1,145,080","Yes"
"GSBD","Goldman Sachs BDC Inc","$9.23","1,665,770","Yes"
"GSIT","GSI Technology Inc","$6.14","1,120,170","Yes"
"GSM","Ferroglobe PLC","$5.30","1,279,850","Yes"
"GT","Goodyear Tire & Rubber Co","$9.44","9,833,020","Yes"
"GTE","Gran Tierra Energy Inc","$5.57","642,470","Yes"
"GTM","Zoominfo Technologies Inc","$6.36","15,124,620","Yes"
"GTX","Garrett Motion Inc","$21.25","2,371,810","Yes"
"HAYW","Hayward Holdings Inc","$16.71","2,011,280","Yes"
"HBAN","Huntington Bancshares Inc","$17.26","58,739,320","Yes"
"HBNC","Horizon Bancorp Inc","$18.01","353,440","Yes"
"HCKT","Hackett Group Inc","$13.93","253,990","Yes"
"HCSG","Healthcare Services Group Inc","$21.59","1,022,700","Yes"
"HE","Hawaiian Electric Industries Inc","$16.82","3,102,710","Yes"
"HELE","Helen of Troy Ltd","$17.64","730,130","Yes"
"HIMS","Hims & Hers Health Inc","$16.30","46,747,710","Yes"
"HIMX","Himax Technologies Inc","$7.72","1,284,140","Yes"
"HIW","Highwoods Properties Inc","$23.12","1,588,340","Yes"
"HL","Hecla Mining Co","$22.60","26,399,640","Yes"
"HLF","Herbalife Ltd","$15.90","1,321,070","Yes"
"HLIT","Harmonic Inc","$10.68","803,130","Yes"
"HLMN","Hillman Solutions Corp","$10.06","1,749,410","Yes"
"HLN","Haleon PLC","$11.20","7,202,590","Yes"
"HLX","Helix Energy Solutions Group Inc","$8.60","2,607,160","Yes"
"HMY","Harmony Gold Mining Company Ltd","$20.99","6,020,760","Yes"
"HNRG","Hallador Energy Co","$19.36","625,550","Yes"
"HOG","Harley-Davidson Inc","$20.42","4,437,610","Yes"
"HOPE","Hope Bancorp Inc","$12.14","981,220","Yes"
"HPE","Hewlett Packard Enterprise Co","$22.69","19,737,160","Yes"
"HPK","Highpeak Energy Inc","$5.09","753,950","Yes"
"HPP","Hudson Pacific Properties Inc","$6.58","1,947,610","Yes"
"HPQ","HP Inc","$19.26","22,797,080","Yes"
"HR","Healthcare Realty Trust Inc","$17.96","4,769,020","Yes"
"HRL","Hormel Foods Corp","$23.78","5,197,500","Yes"
"HRTG","Heritage Insurance Holdings Inc","$24.82","269,680","Yes"
"HRZN","Horizon Technology Finance Corp","$6.67","902,130","Yes"
"HST","Host Hotels & Resorts Inc","$19.89","8,790,590","Yes"
"HSTM","HealthStream Inc","$20.31","437,530","Yes"
"HTBK","Heritage Commerce Corp","$13.30","664,710","Yes"
"HTFL","Heartflow Inc","$20.66","2,669,490","Yes"
"HTGC","Hercules Capital Inc","$15.58","2,970,990","Yes"
"HTLD","Heartland Express Inc","$11.28","796,480","Yes"
"HTZ","Hertz Global Holdings Inc","$5.04","5,317,840","Yes"
"HUN","Huntsman Corp","$13.21","7,582,880","Yes"
"IAG","IAMGOLD Corp","$21.63","10,380,820","Yes"
"IART","Integra Lifesciences Holdings Corp","$11.32","720,660","Yes"
"IBRX","Immunitybio Inc","$5.95","21,054,780","Yes"
"IBTA","Ibotta Inc","$21.44","286,960","Yes"
"IE","Ivanhoe Electric Inc","$15.79","2,018,770","Yes"
"IEP","Icahn Enterprises LP","$8.06","752,100","Yes"
"IHS","IHS Holding Ltd","$8.29","1,275,040","Yes"
"IIIV","I3 Verticals Inc","$22.20","654,490","Yes"
"ILPT","Industrial Logistics Properties Trust","$5.46","264,730","Yes"
"IMMR","Immersion Corp","$6.16","345,020","Yes"
"IMMX","Immix Biopharma Inc","$7.43","943,640","Yes"
"IMNM","Immunome Inc","$22.44","1,362,730","Yes"
"IMSR","Terrestrial Energy Inc","$7.04","2,193,040","Yes"
"IMTX","Immatics NV","$9.90","452,220","Yes"
"INFY","Infosys Ltd","$14.72","18,661,210","Yes"
"INGM","Ingram Micro Holding Corp","$21.57","438,730","Yes"
"INGN","Inogen Inc","$5.76","271,030","Yes"
"INMD","Inmode Ltd","$14.30","1,699,400","Yes"
"INNV","InnovAge Holding Corp","$8.36","544,860","Yes"
"INTA","Intapp Inc","$23.23","2,762,080","Yes"
"INTR","Inter & Co Inc","$8.73","4,325,500","Yes"
"INVA","Innoviva Inc","$22.70","965,370","Yes"
