"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta","Short Interest"
"GETY","Getty Images Holdings Inc","Yes","2,225,930","NYS","$524M (Micro)","2.07","3.2%"
"GFS","GlobalFoundries Inc","Yes","3,561,990","NASDAQ","$20B (Mid)","1.48","2.8%"
"GGAL","Grupo Financiero Galicia SA","Yes","1,404,050","NASDAQ","$7B (Small)","1.49","4.9%"
"GGB","Gerdau SA","Yes","15,249,880","NYS","$5B (Small)","1.44","1.7%"
"GH","Guardant Health Inc","Yes","2,206,570","NASDAQ","$13B (Mid)","1.60","7.0%"
"GIL","Gildan Activewear Inc","Yes","1,465,890","NYS","$12B (Mid)","1.07","5.8%"
"GLBE","Global-E Online Ltd","Yes","1,174,700","NASDAQ","$7B (Small)","1.23","3.2%"
"GLW","Corning Inc","Yes","7,303,650","NYS","$75B (Large)","1.12","1.8%"
"GLXY","Galaxy Digital Inc","Yes","7,481,350","NASDAQ","$9B (Mid)","3.88","6.5%"
"GM","General Motors Co","Yes","10,360,930","NYS","$77B (Large)","1.30","2.2%"
"GMED","Globus Medical Inc","Yes","1,518,320","NYS","$12B (Mid)","1.07","3.6%"
"GNL","Global Net Lease Inc","Yes","1,510,890","NYS","$2B (Micro)","1.10","3.2%"
"GNRC","Generac Holdings Inc","Yes","1,014,070","NYS","$8B (Mid)","1.83","6.7%"
"GNW","Genworth Financial Inc","Yes","4,318,920","NYS","$4B (Small)","1.06","1.8%"
"GRMN","Garmin Ltd","Yes","1,052,310","NYS","$39B (Mid)","1.01","1.6%"
"GRWG","GrowGeneration Corp","Yes","1,624,300","NASDAQ","$113M (Micro)","2.33","2.2%"
"GS","Goldman Sachs Group Inc","Yes","2,300,080","NYS","$268B (Large)","1.31","2.3%"
"GT","Goodyear Tire & Rubber Co","Yes","5,493,940","NASDAQ","$3B (Small)","1.17","8.4%"
"GTES","Gates Industrial Corporation PLC","Yes","2,327,280","NYS","$6B (Small)","1.25","3.2%"
