"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization"
"CMCSA","Comcast Corp","$31.57","Yes","0.77","$114B (Large)"
"CMG","Chipotle Mexican Grill Inc","$36.30","Yes","1.01","$47B (Large)"
"CMS","CMS Energy Corp","$76.74","Yes","0.47","$24B (Mid)"
"CNA","CNA Financial Corp","$48.69","Yes","0.34","$13B (Mid)"
"CNC","Centene Corp","$40.58","Yes","0.51","$20B (Mid)"
"CNH","CNH Industrial NV","$12.75","Yes","1.23","$16B (Mid)"
"CNK","Cinemark Holdings Inc","$24.88","Yes","1.10","$3B (Small)"
"CNM","Core & Main Inc","$58.18","Yes","0.96","$11B (Mid)"
"CNO","CNO Financial Group Inc","$43.06","Yes","0.84","$4B (Small)"
"CNP","CenterPoint Energy Inc","$42.52","Yes","0.58","$28B (Mid)"
"CNQ","Canadian Natural Resources Ltd","$40.68","Yes","0.66","$85B (Large)"
"CNS","Cohen & Steers Inc","$66.66","Yes","1.25","$3B (Small)"
"CNTA","Centessa Pharmaceuticals PLC","$24.71","Yes","1.57","$4B (Small)"
"CNX","CNX Resources Corp","$40.60","Yes","0.67","$6B (Small)"
"COCO","Vita Coco Company Inc","$56.58","Yes","0.36","$3B (Small)"
"COGT","Cogent Biosciences Inc","$36.53","Yes","0.48","$6B (Small)"
"COLB","Columbia Banking System Inc","$31.49","Yes","0.55","$9B (Mid)"
"COLD","Americold Realty Trust Inc","$12.36","Yes","0.91","$4B (Small)"
"COLM","Columbia Sportswear Co","$63.29","Yes","0.84","$3B (Small)"
"COMP","Compass Inc","$10.41","Yes","2.57","$8B (Small)"
"COO","Cooper Companies Inc","$82.99","Yes","1.02","$16B (Mid)"
"CORT","Corcept Therapeutics Inc","$38.34","Yes","0.28","$4B (Small)"
"CPNG","Coupang Inc","$16.98","Yes","1.22","$31B (Mid)"
"CPRI","Capri Holdings Ltd","$20.42","Yes","1.45","$2B (Small)"
"CPRT","Copart Inc","$37.49","Yes","1.10","$36B (Mid)"
"CPRX","Catalyst Pharmaceuticals Inc","$23.60","Yes","0.74","$3B (Small)"
"CQP","Cheniere Energy Partners LP","$59.64","Yes","0.41","$29B (Mid)"
"CRBG","Corebridge Financial Inc","$31.07","Yes","1.06","$15B (Mid)"
"CRC","California Resources Corp","$56.92","Yes","1.12","$5B (Small)"
