"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta"
"NVT","nVent Electric PLC","Yes","2,760,650","NYS","$16B (Mid)","1.34"
"NXPI","NXP Semiconductors NV","Yes","2,588,610","NASDAQ","$57B (Large)","1.45"
"NYT","New York Times Co","Yes","2,058,320","NYS","$11B (Mid)","1.10"
"OC","Owens Corning","Yes","1,350,300","NYS","$9B (Mid)","1.33"
"ODFL","Old Dominion Freight Line Inc","Yes","2,657,160","NASDAQ","$33B (Mid)","1.26"
"OMF","OneMain Holdings Inc","Yes","1,282,710","NYS","$8B (Mid)","1.29"
"ON","ON Semiconductor Corp","Yes","8,032,960","NASDAQ","$22B (Mid)","1.53"
"ONON","On Holding AG","Yes","4,776,290","NYS","$16B (Mid)","2.14"
"ORCL","Oracle Corp","Yes","43,315,620","NYS","$552B (Large)","1.67"
"OTIS","Otis Worldwide Corp","Yes","2,948,390","NYS","$34B (Mid)","1.01"
"OWL","Blue Owl Capital Inc","Yes","13,225,100","NYS","$24B (Mid)","1.11"
"PATH","UiPath Inc","Yes","23,020,420","NYS","$9B (Mid)","1.06"
"PCAR","Paccar Inc","Yes","3,775,060","NASDAQ","$59B (Large)","1.01"
"PEGA","Pegasystems Inc","Yes","1,082,020","NASDAQ","$10B (Mid)","1.08"
"PHM","Pultegroup Inc","Yes","1,715,850","NYS","$23B (Mid)","1.34"
"PLD","Prologis Inc","Yes","3,488,410","NYS","$118B (Large)","1.41"
"PLNT","Planet Fitness Inc","Yes","1,352,220","NYS","$9B (Mid)","1.27"
"PLTR","Palantir Technologies Inc","Yes","38,565,450","NASDAQ","$461B (Large)","1.53"
"PNR","Pentair PLC","Yes","1,168,000","NYS","$17B (Mid)","1.21"
"PPG","PPG Industries Inc","Yes","1,954,650","NYS","$23B (Mid)","1.16"
"PSA","Public Storage","Yes","1,372,590","NYS","$45B (Large)","1.02"
"PSKY","Paramount Skydance Corp","Yes","16,044,250","NASDAQ","$14B (Mid)","1.20"
"PSTG","Pure Storage Inc","Yes","4,353,780","NYS","$23B (Mid)","1.28"
"PTC","PTC Inc","Yes","1,027,730","NASDAQ","$21B (Mid)","1.01"
"PWR","Quanta Services Inc","Yes","1,079,020","NYS","$64B (Large)","1.16"
"PYPL","PayPal Holdings Inc","Yes","16,248,110","NASDAQ","$56B (Large)","1.42"
"QBTS","D-Wave Quantum Inc","Yes","30,823,650","NYS","$9B (Mid)","1.56"
"QCOM","Qualcomm Inc","Yes","8,065,460","NASDAQ","$187B (Large)","1.20"
"QXO","QXO Inc","Yes","6,953,220","NYS","$15B (Mid)","2.39"
"RBLX","Roblox Corp","Yes","7,305,230","NYS","$58B (Large)","1.65"
"RCL","Royal Caribbean Cruises Ltd","Yes","2,713,970","NYS","$80B (Large)","1.93"
"REXR","Rexford Industrial Realty Inc","Yes","2,500,870","NYS","$10B (Mid)","1.23"
"RF","Regions Financial Corp","Yes","11,661,680","NYS","$24B (Mid)","1.03"
"RIVN","Rivian Automotive Inc","Yes","56,270,140","NASDAQ","$28B (Mid)","1.74"
"RJF","Raymond James Financial Inc","Yes","1,326,880","NYS","$32B (Mid)","1.00"
"RKLB","Rocket Lab Corp","Yes","26,475,180","NASDAQ","$32B (Mid)","2.15"
"RKT","Rocket Companies Inc","Yes","18,162,390","NYS","$54B (Large)","2.30"
"RMBS","Rambus Inc","Yes","1,483,640","NASDAQ","$10B (Mid)","1.51"
"ROIV","Roivant Sciences Ltd","Yes","9,908,870","NASDAQ","$16B (Mid)","1.22"
"ROKU","Roku Inc","Yes","3,555,350","NASDAQ","$16B (Mid)","1.93"
"ROST","Ross Stores Inc","Yes","2,710,860","NASDAQ","$59B (Large)","1.00"
"RPM","RPM International Inc","Yes","1,026,780","NYS","$13B (Mid)","1.10"
"RVTY","Revvity Inc","Yes","1,322,110","NYS","$11B (Mid)","1.06"
"RYAAY","Ryanair Holdings PLC","Yes","1,118,170","NASDAQ","$38B (Mid)","1.24"
"SAP","SAP SE","Yes","1,400,140","NYS","$285B (Large)","1.17"
"SCCO","Southern Copper Corp","Yes","1,075,440","NYS","$118B (Large)","1.06"
"SE","Sea Ltd","Yes","5,454,400","NYS","$72B (Large)","1.59"
"SGI","Somnigroup International Inc","Yes","1,532,320","NYS","$19B (Mid)","1.31"
"SHOP","Shopify Inc","Yes","6,397,950","NASDAQ","$221B (Large)","2.82"
"SHW","Sherwin-Williams Co","Yes","1,779,270","NYS","$80B (Large)","1.26"
"SMCI","Super Micro Computer Inc","Yes","21,121,050","NASDAQ","$19B (Mid)","1.54"
"SNOW","Snowflake Inc","Yes","6,000,290","NYS","$76B (Large)","1.15"
"SNPS","Synopsys Inc","Yes","2,520,860","NASDAQ","$88B (Large)","1.11"
"SOFI","SoFi Technologies Inc","Yes","60,979,830","NASDAQ","$34B (Mid)","1.94"
"SPG","Simon Property Group Inc","Yes","1,540,440","NYS","$60B (Large)","1.40"
"SPGI","S&P Global Inc","Yes","1,796,410","NYS","$155B (Large)","1.21"
"SPOT","Spotify Technology SA","Yes","2,060,180","NYS","$120B (Large)","1.66"
"SQM","Sociedad Quimica y Minera de Chile SA","Yes","1,272,790","NYS","$10B (Mid)","1.02"
"SSNC","SS&C Technologies Holdings Inc","Yes","1,351,430","NASDAQ","$21B (Mid)","1.19"
"STLD","Steel Dynamics Inc","Yes","1,377,880","NASDAQ","$25B (Mid)","1.48"
"STM","STMicroelectronics NV","Yes","5,931,500","NYS","$23B (Mid)","1.55"
"STT","State Street Corp","Yes","2,253,980","NYS","$36B (Mid)","1.44"
"STX","Seagate Technology Holdings PLC","Yes","3,425,570","NASDAQ","$65B (Large)","1.61"
"SWK","Stanley Black & Decker Inc","Yes","1,643,420","NYS","$11B (Mid)","1.20"
"SWKS","Skyworks Solutions Inc","Yes","2,576,170","NASDAQ","$10B (Mid)","1.29"
"SYF","Synchrony Financial","Yes","3,210,350","NYS","$30B (Mid)","1.41"
"SYM","Symbotic Inc","Yes","3,974,680","NASDAQ","$36B (Mid)","2.17"
"TECH","Bio-Techne Corp","Yes","1,972,670","NASDAQ","$9B (Mid)","1.48"
"TEL","TE Connectivity PLC","Yes","2,137,550","NYS","$68B (Large)","1.24"
"TER","Teradyne Inc","Yes","2,862,270","NASDAQ","$31B (Mid)","1.83"
"TGT","Target Corp","Yes","6,605,930","NYS","$44B (Large)","1.11"
